Hex	Decimal	Name
U+0003D5	981	GREEK PHI SYMBOL
U+0003D6	982	GREEK PI SYMBOL
U+0003D7	983	GREEK KAI SYMBOL
U+0003D9	985	GREEK SMALL LETTER ARCHAIC KOPPA
U+0003DB	987	GREEK SMALL LETTER STIGMA
U+0003DD	989	GREEK SMALL LETTER DIGAMMA
U+0003DF	991	GREEK SMALL LETTER KOPPA
U+0003E1	993	GREEK SMALL LETTER SAMPI
U+0003E3	995	COPTIC SMALL LETTER SHEI
U+0003E5	997	COPTIC SMALL LETTER FEI
U+0003E7	999	COPTIC SMALL LETTER KHEI
U+0003E9	1001	COPTIC SMALL LETTER HORI
U+0003EB	1003	COPTIC SMALL LETTER GANGIA
U+0003ED	1005	COPTIC SMALL LETTER SHIMA
U+0003EF	1007	COPTIC SMALL LETTER DEI
U+0003F0	1008	GREEK KAPPA SYMBOL
U+0003F1	1009	GREEK RHO SYMBOL
U+0003F2	1010	GREEK LUNATE SIGMA SYMBOL
U+0003F3	1011	GREEK LETTER YOT
U+0003F5	1013	GREEK LUNATE EPSILON SYMBOL
U+0003F8	1016	GREEK SMALL LETTER SHO
U+0003FB	1019	GREEK SMALL LETTER SAN
U+0003FC	1020	GREEK RHO WITH STROKE SYMBOL
U+000430	1072	CYRILLIC SMALL LETTER A
U+000431	1073	CYRILLIC SMALL LETTER BE
U+000432	1074	CYRILLIC SMALL LETTER VE
U+000433	1075	CYRILLIC SMALL LETTER GHE
U+000434	1076	CYRILLIC SMALL LETTER DE
U+000435	1077	CYRILLIC SMALL LETTER IE
U+000436	1078	CYRILLIC SMALL LETTER ZHE
U+000437	1079	CYRILLIC SMALL LETTER ZE
U+000438	1080	CYRILLIC SMALL LETTER I
U+000439	1081	CYRILLIC SMALL LETTER SHORT I
U+00043A	1082	CYRILLIC SMALL LETTER KA
U+00043B	1083	CYRILLIC SMALL LETTER EL
U+00043C	1084	CYRILLIC SMALL LETTER EM
U+00043D	1085	CYRILLIC SMALL LETTER EN
U+00043E	1086	CYRILLIC SMALL LETTER O
U+00043F	1087	CYRILLIC SMALL LETTER PE
U+000440	1088	CYRILLIC SMALL LETTER ER
U+000441	1089	CYRILLIC SMALL LETTER ES
U+000442	1090	CYRILLIC SMALL LETTER TE
U+000443	1091	CYRILLIC SMALL LETTER U
U+000444	1092	CYRILLIC SMALL LETTER EF
U+000445	1093	CYRILLIC SMALL LETTER HA
U+000446	1094	CYRILLIC SMALL LETTER TSE
U+000447	1095	CYRILLIC SMALL LETTER CHE
U+000448	1096	CYRILLIC SMALL LETTER SHA
U+000449	1097	CYRILLIC SMALL LETTER SHCHA
U+00044A	1098	CYRILLIC SMALL LETTER HARD SIGN
U+00044B	1099	CYRILLIC SMALL LETTER YERU
U+00044C	1100	CYRILLIC SMALL LETTER SOFT SIGN
U+00044D	1101	CYRILLIC SMALL LETTER E
U+00044E	1102	CYRILLIC SMALL LETTER YU
U+00044F	1103	CYRILLIC SMALL LETTER YA
U+000450	1104	CYRILLIC SMALL LETTER IE WITH GRAVE
U+000451	1105	CYRILLIC SMALL LETTER IO
U+000452	1106	CYRILLIC SMALL LETTER DJE
U+000453	1107	CYRILLIC SMALL LETTER GJE
U+000454	1108	CYRILLIC SMALL LETTER UKRAINIAN IE
U+000455	1109	CYRILLIC SMALL LETTER DZE
U+000456	1110	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
U+000457	1111	CYRILLIC SMALL LETTER YI
U+000458	1112	CYRILLIC SMALL LETTER JE
U+000459	1113	CYRILLIC SMALL LETTER LJE
U+00045A	1114	CYRILLIC SMALL LETTER NJE
U+00045B	1115	CYRILLIC SMALL LETTER TSHE
U+00045C	1116	CYRILLIC SMALL LETTER KJE
U+00045D	1117	CYRILLIC SMALL LETTER I WITH GRAVE
U+00045E	1118	CYRILLIC SMALL LETTER SHORT U
U+00045F	1119	CYRILLIC SMALL LETTER DZHE
U+000461	1121	CYRILLIC SMALL LETTER OMEGA
U+000463	1123	CYRILLIC SMALL LETTER YAT
U+000465	1125	CYRILLIC SMALL LETTER IOTIFIED E
U+000467	1127	CYRILLIC SMALL LETTER LITTLE YUS
U+000469	1129	CYRILLIC SMALL LETTER IOTIFIED LITTLE YUS
U+00046B	1131	CYRILLIC SMALL LETTER BIG YUS
U+00046D	1133	CYRILLIC SMALL LETTER IOTIFIED BIG YUS
U+00046F	1135	CYRILLIC SMALL LETTER KSI
U+000471	1137	CYRILLIC SMALL LETTER PSI
U+000473	1139	CYRILLIC SMALL LETTER FITA
U+000475	1141	CYRILLIC SMALL LETTER IZHITSA
U+000477	1143	CYRILLIC SMALL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
U+000479	1145	CYRILLIC SMALL LETTER UK
U+00047B	1147	CYRILLIC SMALL LETTER ROUND OMEGA
U+00047D	1149	CYRILLIC SMALL LETTER OMEGA WITH TITLO
U+00047F	1151	CYRILLIC SMALL LETTER OT
U+000481	1153	CYRILLIC SMALL LETTER KOPPA
U+00048B	1163	CYRILLIC SMALL LETTER SHORT I WITH TAIL
U+00048D	1165	CYRILLIC SMALL LETTER SEMISOFT SIGN
U+00048F	1167	CYRILLIC SMALL LETTER ER WITH TICK
U+000491	1169	CYRILLIC SMALL LETTER GHE WITH UPTURN
